,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1038,13712.000382011687,0.00212461411988396,-0.0025062738451782705,0.0,-0.0,0.0,-3.6056390804827387e-7,0.0,0.0,-13712.0
t1039,15192.000369555242,0.0021298670055661857,-0.0024990694855197724,0.0,-0.0,0.0,-3.6056690449645257e-7,0.0,0.0,-15192.0
t1040,17114.0003303058,0.0021454183803486324,-0.002475370595957223,0.0,-0.0,0.0,-3.605654422038159e-7,0.0,0.0,-17114.0
t1041,18656.000220956485,0.0021861542605824224,-0.002406756150249392,0.0,-0.0,0.0,-3.605646929077272e-7,0.0,0.0,-18656.0
t1042,20020.00005005505,0.002263199577059492,-0.0023128955270346934,0.0,-0.0,0.0,-3.605687192294181e-7,0.0,0.0,-20020.0
t1043,21201.00007935486,0.0022519183318168738,-0.002330904306516754,0.0,-0.0,0.0,-3.6055654863219137e-7,0.0,0.0,-21201.0
t1044,22008.999609107894,0.002439650721046136,-0.002048380897671967,0.0,-0.0,0.0,-3.6057342926156875e-7,0.0,0.0,-22009.0
t1045,22566.99814142976,0.0034593092127943458,-0.0016003505006856478,0.0,-0.0,0.0,-3.605973617181925e-7,0.0,0.0,-22567.0
t1046,23069.99985173234,0.0017080314109162143,-0.0015592897810867007,0.0,-0.0,0.0,-3.6034172150878226e-7,0.0,0.0,-23070.0
t1047,23388.008670417763,8.503117808580403e-5,-0.008754970279344116,0.0,-0.0,0.0,-3.5859095350955734e-7,0.0,0.0,-23388.0
t1048,23628.999998160616,4.9582675787145514e-6,-2.890215261601689e-6,0.0,-0.0,0.0,-2.5263897804280737e-7,0.0,0.0,-23629.0
t1049,23628.99995513339,0.011095659106213405,3.209378579966713e-7,0.0,-0.0,0.0,140.98894885328085,0.0,0.0,-23770.0
